time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-01-27T13:16:35.900Z,-30.6312,-71.6147,28.05,4.5,mwr,,84,0.045,0.63,us,us20004v1z,2016-04-08T23:06:17.040Z,"39 km W of Ovalle, Chile",earthquake,6.3,3.9,0.044,50,reviewed,us,us
2016-01-26T09:08:55.020Z,-30.1613,-71.898,14.81,4.5,mwr,,116,0.559,1.31,us,us20004uml,2022-08-02T07:20:51.254Z,"58 km WSW of Coquimbo, Chile",earthquake,4.8,3.7,0.05,39,reviewed,us,us
2016-01-26T01:35:14.310Z,-30.7429,-71.4603,38.41,4.5,mb,,109,0.165,0.46,us,us20004ukd,2016-04-08T23:06:15.040Z,"29 km WSW of Ovalle, Chile",earthquake,4.7,6.8,0.18,9,reviewed,us,us
2016-01-25T04:35:57.970Z,-31.6922,-72.1202,15.16,4.5,mb,,191,1.097,0.65,us,us10004gyp,2016-04-08T23:06:13.040Z,"90 km W of Illapel, Chile",earthquake,7.5,6.7,0.242,5,reviewed,us,us
2016-01-21T13:36:09.800Z,-30.3896,-71.5533,42.32,4.2,mwr,,176,0.291,0.83,us,us10004g3e,2016-04-06T17:30:29.040Z,"41 km NW of Ovalle, Chile",earthquake,6.1,6.5,0.05,39,reviewed,us,us
2016-01-21T06:07:02.290Z,-30.5467,-71.2939,56.11,4.2,mb,,118,0.32,0.84,us,us10004fzl,2016-04-06T17:30:29.040Z,"10 km WNW of Ovalle, Chile",earthquake,6.8,9.7,0.371,2,reviewed,us,us
2016-01-20T07:24:50.730Z,-30.5749,-71.6757,29.27,4.5,mb,,107,0.104,0.92,us,us20004uqq,2016-04-06T17:30:28.040Z,"45 km W of Ovalle, Chile",earthquake,6.1,3.6,0.192,8,reviewed,us,us
2016-01-19T21:45:27.990Z,-30.4423,-71.6339,28.45,4,mwr,,185,0.23,0.65,us,us10004gfl,2016-04-06T17:30:27.040Z,"45 km WNW of Ovalle, Chile",earthquake,5.7,5.9,0.063,24,reviewed,us,us
2016-01-19T07:08:48.030Z,-31.9282,-71.2404,74.68,4.3,mb,,133,1.017,0.78,us,us10004fif,2016-04-06T17:30:26.040Z,"30 km WSW of Salamanca, Chile",earthquake,4.7,6.9,0.154,12,reviewed,us,us
2016-01-16T20:36:40.000Z,-31.251,-71.747,29.2,4.2,mb,,,,0.83,us,us20004zn3,2016-04-06T17:30:23.040Z,"69 km NW of Illapel, Chile",earthquake,4.8,2.8,0.236,5,reviewed,guc,us
